target,commit_id,oss_fuzz_commit,sanitizer
libredwg,b9a2494135a52c1fbc357b93d4238315e17763b6,793f679786ebc6d2158860d1c61b7d62dc737aa5,address
libredwg,b9a2494135a52c1fbc357b93d4238315e17763b6,793f679786ebc6d2158860d1c61b7d62dc737aa5,undefined
libredwg,ec9dca354e2580b7e91fdc2ddc8fd1815ecc54e2,4b9996bcecfff47730ad3bfc81bccc1e127ae500,address
libredwg,ec9dca354e2580b7e91fdc2ddc8fd1815ecc54e2,4b9996bcecfff47730ad3bfc81bccc1e127ae500,undefined
libredwg,26804f1006dc2f2b62763f54c4351e78fc797c43,3fa8362b99185791a66397e9aaa541daa4228eb2,address
libredwg,26804f1006dc2f2b62763f54c4351e78fc797c43,3fa8362b99185791a66397e9aaa541daa4228eb2,undefined
libredwg,0cce8593fbbc2fddc63ca2e1314fbff87cbcbecf,0c6d6557b11b0e15996032aef9024a80886c2d52,address
libredwg,0cce8593fbbc2fddc63ca2e1314fbff87cbcbecf,0c6d6557b11b0e15996032aef9024a80886c2d52,undefined
libredwg,16cfd84b99c6f6b1eab9f7652c534eb32ac579f4,d35fee8abb1894d1c6d06890a220a5e57bcf11f0,address
libredwg,16cfd84b99c6f6b1eab9f7652c534eb32ac579f4,d35fee8abb1894d1c6d06890a220a5e57bcf11f0,undefined
libredwg,35bd49e3134999f89fbd3c5f3dd5093ba294389a,0009f1d852a8f2dca25fc8edba43f8fbf9f307a9,address
libredwg,35bd49e3134999f89fbd3c5f3dd5093ba294389a,0009f1d852a8f2dca25fc8edba43f8fbf9f307a9,undefined
libredwg,d1cb17234bb30d7573256ab330d4125d0d5b12b6,162f2ab818f5992b66486a4d06cb0e3c88c37773,address
libredwg,d1cb17234bb30d7573256ab330d4125d0d5b12b6,162f2ab818f5992b66486a4d06cb0e3c88c37773,undefined
libredwg,d09bf010c3fb18deb6c2c42cdeebd27b8a1a9dd9,e3ba29c7e8de9e9dd6bc934ccf17807eb274bf00,address
libredwg,d09bf010c3fb18deb6c2c42cdeebd27b8a1a9dd9,e3ba29c7e8de9e9dd6bc934ccf17807eb274bf00,undefined
libredwg,3fa888d410b5649c984ac2d0c0582e581dcc5cf6,694bad5177580dbca521268380abcb0b37c14538,address
libredwg,3fa888d410b5649c984ac2d0c0582e581dcc5cf6,694bad5177580dbca521268380abcb0b37c14538,undefined
libredwg,b8fd7252b6d4cfd78333346fcfd5c2eed2f748ba,cf37b8cd04dfce1e1f58741985d72da07dc8b297,address
libredwg,b8fd7252b6d4cfd78333346fcfd5c2eed2f748ba,cf37b8cd04dfce1e1f58741985d72da07dc8b297,undefined
libredwg,51b7f5387d5f150af8efd77e6388bc82007ab323,9f56cf477ee8a0a151864c4f8b395344ebef0908,address
libredwg,51b7f5387d5f150af8efd77e6388bc82007ab323,9f56cf477ee8a0a151864c4f8b395344ebef0908,undefined
libredwg,3ab51004dabb6619e5badcb7c36bb0b83a65ecb2,73445dce9f5e9e5f164ad007ed2a7ebf93e5a08a,address
libredwg,3ab51004dabb6619e5badcb7c36bb0b83a65ecb2,73445dce9f5e9e5f164ad007ed2a7ebf93e5a08a,undefined
libredwg,c0b87d636140d15397eadfeda93641a62b128cdb,9e6954182c2d19db5e38fcdade5c7ed9bb732f65,address
libredwg,c0b87d636140d15397eadfeda93641a62b128cdb,9e6954182c2d19db5e38fcdade5c7ed9bb732f65,undefined
libredwg,6e7839fbc9bd86902d9cef28bae0c5dd11c78ef8,8a8a4dbba55c2f61d5ad47f60415ed3ff3e317c1,address
libredwg,6e7839fbc9bd86902d9cef28bae0c5dd11c78ef8,8a8a4dbba55c2f61d5ad47f60415ed3ff3e317c1,undefined
libredwg,7e3a96a88cf11a18d4d88920b08f75653d49a3c5,e19d62d2ba70fff78d53584086ec1026804b9672,address
libredwg,7e3a96a88cf11a18d4d88920b08f75653d49a3c5,e19d62d2ba70fff78d53584086ec1026804b9672,undefined
libredwg,0656005f8c67e7ae0a0591b6225a640a9eab2d3e,a05e8eb0c2fa3f8d1a6701d946f1c6b3305f2fb1,address
libredwg,0656005f8c67e7ae0a0591b6225a640a9eab2d3e,a05e8eb0c2fa3f8d1a6701d946f1c6b3305f2fb1,undefined
libredwg,33a59e0df8924b1afdac82d59b858ab405948bf0,c42faeed182dd2b06916ec72651b4661d15aa6cb,address
libredwg,33a59e0df8924b1afdac82d59b858ab405948bf0,c42faeed182dd2b06916ec72651b4661d15aa6cb,undefined
libredwg,9cd3b325346176612f35e20e7297c06f7b685c48,7c67544b9c8729d5964d10746753330d51c8df7d,address
libredwg,9cd3b325346176612f35e20e7297c06f7b685c48,7c67544b9c8729d5964d10746753330d51c8df7d,undefined
libredwg,e53eab76991e68724bb44feb444ef41a1707927a,7c899adc740494f5d279db38f6e579c841323906,address
libredwg,e53eab76991e68724bb44feb444ef41a1707927a,7c899adc740494f5d279db38f6e579c841323906,undefined
libredwg,f436fd69a68a6c426a26ff7e7018531a6753756c,05185182663701d0d3476834051ef092582424b5,address
libredwg,f436fd69a68a6c426a26ff7e7018531a6753756c,05185182663701d0d3476834051ef092582424b5,undefined
libredwg,e420d5aac90f799dec1ce123812bc07eb20e0cc2,50c8bb586c0835e6fda39e7e933be197750cdf03,address
libredwg,e420d5aac90f799dec1ce123812bc07eb20e0cc2,50c8bb586c0835e6fda39e7e933be197750cdf03,undefined
libredwg,72aaca00b7d81d36829f7d54b52fd669bd1a6f08,429b7c2185a4e50d91b82f99f42e5f7d805c17a8,address
libredwg,72aaca00b7d81d36829f7d54b52fd669bd1a6f08,429b7c2185a4e50d91b82f99f42e5f7d805c17a8,undefined
libredwg,2e2d7bda11b0f753258e1d26c01400497bf6f2c8,8bf8f269ad7f2e6a4e45975161e8a705e16cd05c,address
libredwg,2e2d7bda11b0f753258e1d26c01400497bf6f2c8,8bf8f269ad7f2e6a4e45975161e8a705e16cd05c,undefined
libredwg,09923afd84f549805c25091b39891fd6eb612dd4,8bf8f269ad7f2e6a4e45975161e8a705e16cd05c,address
libredwg,09923afd84f549805c25091b39891fd6eb612dd4,8bf8f269ad7f2e6a4e45975161e8a705e16cd05c,undefined
libredwg,52cbfaeb3ebe8dfade0433a1744f386dc6dd9807,96900de249e2d1bd2978516527a8e266df1eec0d,address
libredwg,52cbfaeb3ebe8dfade0433a1744f386dc6dd9807,96900de249e2d1bd2978516527a8e266df1eec0d,undefined
libredwg,4eb7b2cb088c2fb97b62c4becc61bead0571bf96,10e6cbd71d06ef7fda3c0811475b8b9c0a1a0132,address
libredwg,4eb7b2cb088c2fb97b62c4becc61bead0571bf96,10e6cbd71d06ef7fda3c0811475b8b9c0a1a0132,undefined
libredwg,a0721645f98b409cf4ddf96133ecb409244ab90d,9d034750a9e6f6d7327c71c9eeccd3511472e2dd,address
libredwg,a0721645f98b409cf4ddf96133ecb409244ab90d,9d034750a9e6f6d7327c71c9eeccd3511472e2dd,undefined
libredwg,53ad41cf71b3aa8c74ceb144c046230a3b94d407,9d034750a9e6f6d7327c71c9eeccd3511472e2dd,address
libredwg,53ad41cf71b3aa8c74ceb144c046230a3b94d407,9d034750a9e6f6d7327c71c9eeccd3511472e2dd,undefined
libredwg,909e61852e3b64fc6ae782d78a5a49136e6b20c1,5765fe59aaf496cbb1aed836427199a059c003e6,address
libredwg,909e61852e3b64fc6ae782d78a5a49136e6b20c1,5765fe59aaf496cbb1aed836427199a059c003e6,undefined
libredwg,46f2695570046561f8b049f393534f414dd12c7c,fff6a19fa7f529d8e3732524f8c756770077967c,address
libredwg,46f2695570046561f8b049f393534f414dd12c7c,fff6a19fa7f529d8e3732524f8c756770077967c,undefined
libredwg,eaed9ba7984a859d5518fbf129a482f5d407ed8f,c9f5d87321d6b052d73f22a64ac2de8b383d0bff,address
libredwg,eaed9ba7984a859d5518fbf129a482f5d407ed8f,c9f5d87321d6b052d73f22a64ac2de8b383d0bff,undefined
libredwg,59ee81ac0c7d7f66f45b791ce2f6f7f0f052d09b,c9f5d87321d6b052d73f22a64ac2de8b383d0bff,address
libredwg,59ee81ac0c7d7f66f45b791ce2f6f7f0f052d09b,c9f5d87321d6b052d73f22a64ac2de8b383d0bff,undefined
libredwg,7657ea2bb1bf53a61f4fb5bbca628ad6fe9a4d3a,321f1630eea9da43c01f5ba0be2d5ac00be57d0b,address
libredwg,7657ea2bb1bf53a61f4fb5bbca628ad6fe9a4d3a,321f1630eea9da43c01f5ba0be2d5ac00be57d0b,undefined
libredwg,72be518a25ba23b771750607c36613a924bef32d,4c57ade5a3f76f8ed9b7dadb7a3f86798d1ede1a,address
libredwg,72be518a25ba23b771750607c36613a924bef32d,4c57ade5a3f76f8ed9b7dadb7a3f86798d1ede1a,undefined
libredwg,e649e4fec02bd0a4c4065a3f64a524adf1640e16,9808d5be4470d1c1e6ac60f835fd25d87d60073d,address
libredwg,e649e4fec02bd0a4c4065a3f64a524adf1640e16,9808d5be4470d1c1e6ac60f835fd25d87d60073d,undefined
libredwg,7fd40e4ae528553e85fe49660f15136925a0630c,ff2b6b33ddd9acbc32f588d901a4068b441806bf,address
libredwg,7fd40e4ae528553e85fe49660f15136925a0630c,ff2b6b33ddd9acbc32f588d901a4068b441806bf,undefined
libredwg,744fef3837ef316b7552a3b2ce8727838eaf259e,d98ab91d4709e92e6ea730185d9daf239cbb87d8,address
libredwg,744fef3837ef316b7552a3b2ce8727838eaf259e,d98ab91d4709e92e6ea730185d9daf239cbb87d8,undefined
libredwg,76a574c2b7ecaab13a5ad7c9a9ba82074a5614fe,3fde24173b293cdc4896e8b0c4d1c4fdef5764db,address
