target,commit_id,oss_fuzz_commit,sanitizer
opensc,60b2fc8856df5ce51fed0c14a88cebef502f1b75,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,bec4f63c5b8308d7fdca842c5c0b62c3491d106a,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,3a3efe765e0c5d4828eec9eb7a2580c18db9a69e,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,58744abf2bb933b10729d36e5b43e469f6529f32,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,6aba21ecf347bed70c713156c452c40572d48e41,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,e48902f146494b5a27bf8a193ef2e08d0be7c3a2,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,35734aebc8868f353eed4a19d48a8f86a0d8a53b,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,45bb8c961daa5e91eaa6a2072b3b6ace9787a388,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,11f271e49af67acab8aff1c49b709c8d7d72fa2f,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,8a6e4948566d00876eda35a8ee9810115534c1f4,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,32d7b0bbe4ea753cc2d4171b11abd918efe87f99,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,8b11780b4788e9a304c5e743b50c1c608eee4d41,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,f77732aa8a51bdc8eb77b303fb7f713db67b49d8,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,8b2aaac9b2435134c5d234acef1be739fd1019ba,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,2420852ee0706c4d1a49c3ba5ae4e3d277199bb5,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,ac8d87751607fcc8669bd63891ecaad1a466f718,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,dbe4af17713b7a7b0c036f86486dc21e639e955f,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,5202602e101d02d9c8106b421f731423a6d8e39f,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,0773f4098ad424582af9f367fd7627fcdefba66e,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,53fd03f63ec35d526524621178e00027ec0cef29,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,ae4fb20f19f755115f68b598f1c0461595840865,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,c63b553c6f9c98e3089b35c1043ab5577698cb4f,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,d67e42b73516d488cd306b1c3d2adbe17c0ca3b2,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,c3789173c1874452318d7fc1c97c385eb225ee9c,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,4c487abeddc20ec9f7c16a5f8be785ebd3c57a64,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,2b9da90b5112e21aa42c1fe22f56966d2ee02d9e,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
opensc,328290ec72163f0082962a79a0e26788380be145,b1ebcf8698f692afbe2355af4c67e30dc779dba8,address
