commit_id,OSV-2020-1121,OSV-2020-1222,OSV-2020-1301,OSV-2020-1733,OSV-2020-955,OSV-2020-958,OSV-2020-998,OSV-2020-999,OSV-2021-220,OSV-2021-222,OSV-2021-228,OSV-2021-229,OSV-2021-231,OSV-2021-240,OSV-2021-242,OSV-2021-251,OSV-2021-258,OSV-2021-305,OSV-2023-1370,OSV-2023-837,OSV-2024-1212,OSV-2024-189,OSV-2024-20,OSV-2024-74
2ebc047329ef978139167e08edaf3d91ee4b3d1a,0.5|0,0.5|0,0.5|0,0|0,0.5|0,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
dd6f0b72c92591252bb77818663629cc1a129949,0.5|1,0.5|1,0.5|1,0|0,0.5|1,0.5|1,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
92ea05adb2478c64be571aff6fe00130fd29c252,0|0,0.5|1,0.5|1,0|0,0.5|1,0.5|1,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
12eb1e80d87af8f2544e96f82b2ea7f1b20f0d78,0|0,0.5|1,0.5|1,0|0,0.5|1,0.5|1,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
3d59a6a1499a14cb36f58903ce75c38a45176e22,0|0,0.5|1,0.5|1,0|0,0.5|1,0.5|1,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
12b3aed9a4f680c84e0f52f3c9425660e1542ffa,0|0,0.5|1,0.5|1,0|0,0.5|1,0.5|1,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
da436e53d06318e92ba99e731f6772808dcc66c3,0|0,0.5|1,0.5|1,0|0,0.5|1,0.5|1,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
d59c3645f798169f7fde53dbf5c6d3e095465e8c,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
55a157c6e7111b86290b37ebfb19f8e212e0f629,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
8ac607a85d72c09025d1ab65f48b71fa2ede9b6a,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
5162f01532d10514a44b76af6e41f205aa8b646b,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
c003e964a0b8dbe2cb9b3bbe68eff8bea4c23b1c,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
9b7f61cd18d7b597b75ff789b2416dc404882d88,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
1c1a5b0444b96d47bfe200a0c43105333329345b,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
f2fd34ae3d78910eae21074c057ced634310ef9b,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
f4680d0b35604ba2fc7007713729e78d883f8862,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
e43b472fcd44be2a935e40e2cbdb4202a1e743c4,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
8ac3b5c45d35a8a179bf71783fe218241274c6f2,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
7110dec9fad7fbc5333a40efceebeb44eebe8c51,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
