commit_id,OSV-2023-1205,OSV-2023-1206,OSV-2023-1207,OSV-2023-1208,OSV-2023-1294,OSV-2023-1305,OSV-2023-1311,OSV-2023-1312,OSV-2023-1313,OSV-2023-1322,OSV-2023-342,OSV-2023-68,OSV-2023-75,OSV-2023-840,OSV-2023-95,OSV-2023-97,OSV-2024-637,OSV-2024-638,OSV-2025-534,OSV-2025-584,OSV-2025-589
43629a63d8cb3b52195c032a662e62ac3bfd8aae,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
375b9b7e44b067d7b87bcae7291154ae59c72267,0|0,0|0,0|0,0|0,0|0,0|1,0|0,0|0,0|0,0|1,0|0,0|1,0|0,0|0,0|0,0|0,0|1,0|0,0|1,0|0,0|0
308e043ef64db5773a4c4e12758900603e333108,0|0,0|0,0|0,0|0,0|0,0|1,0|0,0|0,0|0,0|1,0|0,0|1,0|0,0|0,0|0,0|0,0|1,0|0,0|1,0|0,0|0
e6c806df90358c37cefb5bbf27d1205b71b4546a,0|0,0|0,0|0,0|0,0|0,0|1,0|0,0|0,0|0,0|1,0|0,0|1,0|0,0|0,0|0,0|0,0|1,0|0,0|1,0|0,0|0
b2a61a152a5e83b3419212e8d15a10d4488e51d9,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0.5|1,0|1,0|0,0|1,0.5|1,0.5|1,1|1,0.5|1,0.5|1,0|0,0.5|1,0|0,0|0
da58813a3a5c7d35c0bdbc69e53276253c230108,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0.5|1,0|1,0|0,0.5|1,0.5|1,0.5|1,1|1,0.5|1,0.5|1,0|0,0.5|1,0|0,0|0
47125f49a45f94fe3d6033a805116b909e36d4e2,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0.5|1,0.5|1,0|0,0.5|1,0|1,0.5|1,1|1,0.5|1,0.5|1,0|0,0.5|1,0|0,0|0
8b8c7e390d00e5f6e8b354051680e5acd6c9a912,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0.5|1,0|1,0|0,0|1,0.5|1,0.5|1,1|1,0.5|1,0.5|1,0|0,0.5|1,0|0,0|0
764ab7b702142762bfa9c4e93427c6e494ff7940,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0.5|1,0.5|1,0|0,0|1,0.5|1,0.5|1,1|1,0.5|1,0.5|1,0|0,0.5|1,0|0,0|0
8739b7da75f305ab391eb36c613210c23243fe5b,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0.5|1,0|1,0|0,0|1,0|1,0.5|1,1|1,0.5|1,0.5|1,0|0,0.5|1,0|0,0|0
8e41a50de40011a974d57adfed876b26faf116ba,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0.5|1,0|1,0|0,0|1,0.5|1,0.5|1,1|1,0.5|1,0.5|1,0|0,0.5|1,0|0,0|0
7f19ac220647a58262bf08262049f7340030e1bf,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0.5|1,0|1,0|0,0.5|1,0.5|1,0.5|1,1|1,0.5|1,0.5|1,0|0,0.5|1,0|0,0|0
992407f6c3e77c9ff84684c77072b913eaa3152b,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0|0,0.5|1,1|1,0.5|1,0.5|1,0|0,0.5|1,0|0,0|0
c38af025abf0040f6693d15f4ce2e878a728cfee,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0.5|1,1|1,0.5|1,0.5|1,0|0,0.5|1,0|0,0|0
ed00dfc32546e06260fdb3d08e2ffd1b79bcbace,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0|0,0.5|1,1|1,0.5|1,0.5|1,0|0,0.5|1,0|0,0|0
b6b12cc5f0d849fc32f7a1604a33ce46ab86d6fc,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0.5|1,1|1,0.5|1,0.5|1,0|0,0.5|1,0|0,0|0
a7c8d4764346a0c03626d6a9ffcf64aa762acf0e,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0.5|1,1|1,0.5|1,0.5|1,0|0,0.5|1,0|0,0|0
5fabd43f6af6c5f432c543b8a84e690dfa31a3b2,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
4900778d4c9f01faa81f6f26327b57ae3b60e3c2,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
c0ca3b2979a6f0999c57549986f99334666e8ef7,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
a49b596b8ee98603842a2d9fa778588ebb86f86b,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
3a853e8247ce8e50df7e6a129adb29ab50dabb08,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
7855d6e872ce04398fbab460b8d8fdea39866b4d,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
7164209291432864022553fa96322c95d55bbd89,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
f54d852a3f2d3f6b59e0f6d46de7072e9a040d62,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
a3766576c3858ead328a2c177482412722bd50ae,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
ab835f3240d52843b4480fa77352b15c3668ed5a,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
b800d35a56006f6daa41d8c419a813ef3e8d2d34,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
164b3953b098644efdc66d8d67339c1c55d98bfa,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
d7ee38baa19cad0a7fe230537082531d0b20fd1f,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
7cee91f24c3491405fa7ff71aef2d9da0a0d6011,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
1806721a4d44cd59dbea3db6ba48b1e7056f3928,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
c5f3b0c97630b33fbb52447440fba0f1e42a73e3,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
5beaa86db43883b3f7c611b931a8c7c217920705,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
583580270bf46369fe5873b71eae1f57f6e26ade,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
ad23214a836690259f9494e75dfde370651d97a1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
33312473dce521e74fd3bd2882c9cd680893d858,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
5a7d4325bed0ffa3d36616400929241af301ec63,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
9783b509ac174fb51e510548ba1953e3997f07ab,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
ba34616a119952074bf32bbb8ae2b93e1d8500c2,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
7acfe285552173d1835c28f553209e80b153017d,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
f8ae418b38e8ac52cf87425d27cb20925607debc,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
84f955dd77e42ffb57cb05a869cb8c8bf68f1e13,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
bbf593f21619925ee6a4c9935428ed47dc4d4a48,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
6685e380b5f0cd55526b0a1b12f21ec99ef2feae,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
72e8241a64dfab469433fdc48c2de2cde602e8c3,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
5b04d419d2e1fd8ca818ad15a2a0b4f6d47de0e8,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
c759935aad1d74734c53841eb5d227442a554a5a,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
468e048959360ba7b3705d430ee136394cc11c19,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
07452e198be12afc9c9ac0154d401632fcf767fd,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
2e8e8e7d13287759d10ca006524e835aaed5be01,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
40a2df324466a3207dfb19eb7c3a7d5b78c4ffeb,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
9030e26c46d27c10138e2679bd295f6cdf4c037b,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
283f9fcecb9e0d0fe020dc131749294704b866b8,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
