commit id,OSV-2023-1160,OSV-2023-1214,OSV-2023-1352,OSV-2023-1360,OSV-2023-1375,OSV-2023-1381,OSV-2023-423,OSV-2023-425,OSV-2023-462,OSV-2023-480,OSV-2023-507,OSV-2023-688,OSV-2023-697,OSV-2023-710,OSV-2023-726,OSV-2023-741,OSV-2023-761,OSV-2023-976,OSV-2025-84,OSV-2025-88,poc count
08a87f27fdc339d9979eed95832cb7ca885b16ba,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0
c907e4292692af8fc7a09c14c9093dce44f08dc1,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,1
bb028d7271dc3e2cfead4592ecbf0594a81ae710,0|0,0|0,0|0,0|0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
6d5a494c4a32406311850b78c372ec4a2534d285,0|0,0|0,0|0,0|0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
bfc67588eb3f60f1f24a4596e87edcdb7ec254ab,0|0,0|0,0|0,0|0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
4084c291321bc6d152f3926a465f5fb1679f849f,0|0,0|0,0|0,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,3
6a91951fd6056db92bf661fdca4c9b4b439a8992,0|0,0|0,0|0,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,3
35b09487b9e38f11e5e01fc3cf9eb60b1b493f7c,0|0,0|0,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,4
8051475c9a8270a4f6c90625f3387ede8c6b25b0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
39e289c3ec7907cd24b16afb0a3eeeb52bc01d8f,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
afc9cc2241fa997742453f93b03f29c1ed7d55b8,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
a60435e7abe4adef6966787924b173a509bd4396,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
2ed9ef0368968f90b7b7d8cff69ba9b51a9cc385,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
3b8bec2df0542c6a2ef9783bb117621f62eabfb4,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
547de6a6c1acbf3a70c3111def710b466f1c58d7,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
8315e61fd47c6e5a4d716b6f586e14ef2e84bcf9,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
588a649642b90d8b64d5b974ac2bec6b5d1e4f83,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
692c1d4d4a7fe5a2483ec74ffe6792359462b408,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
82671f742514280068f866537742ce6f53cc4be6,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
