commit id,OSV-2020-1046,OSV-2020-1720,OSV-2020-1836,OSV-2020-1844,OSV-2020-1848,OSV-2020-1860,OSV-2020-1981,OSV-2020-1990,OSV-2020-209,OSV-2020-2157,OSV-2020-2178,OSV-2020-2222,OSV-2020-2254,OSV-2020-2276,OSV-2020-366,OSV-2020-452,OSV-2020-525,OSV-2020-55,OSV-2020-693,OSV-2020-885,OSV-2020-969,OSV-2021-1017,OSV-2021-262,OSV-2021-474,OSV-2021-537,OSV-2021-538,OSV-2021-915,poc count
6810eb6cf13f97ff20c5c68f49bef70ae977ddea,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,1
f0310f777686d69d52c6c741fbe088e2caadb0fb,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,1
532b06d07e6e0e020835f99ff29672eaaded846e,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,1
6522df7587eeacff1a91de29f9cf6d03f5401d59,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,1
61cd7fcdb2fdc9214b431abb631b202314dcc32f,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
3c286b3cb1b234b88335029c968320b7ff8bc493,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
026b6ab43dfb52b768ad15123dc698e05c52be20,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
60581ecc8205073ed9a363eb188f301b756a874d,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
3ac47fbea9d04bba086cf068350a73b80e2e9178,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
49f59d9fc9505bda45fe3842d834341a68323209,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
6c7b4bed37f30707319ec5210b049777a291e5c3,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
829a73c941084e7ef03518a224fa3a9fc7352413,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
51363d33926f2748ca7c8b8fa395678faac17edb,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
424ebf8ed13d804246ba0c8a5e2576009b3c3f7b,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
a3ee8cefc8057ae9199edbafc96643b4f225654e,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
7a1e42e1352201127d1a97b6cb5f41e48cace0f5,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0.5|1,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
2a2662fb3d26aa966c32d3a53a8fc27e887addb5,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0.5|1,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
fa35be5859530b88042c0192d3f4813a5c973e4e,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0.5|1,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
8b6ba40a8ea099f4071ebd34ce93e41251b1a1b0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0.5|1,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
07cff0e168fec95e623b58454d58e8aca0ab288b,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|1,0|0,0|0,0|0,0|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
8d3dfb2f6d2dfa7f47b7032822d237f9b4ee9abc,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|1,0|0,0|0,0|0,0|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,2
804cb680575b130b75daece8efff07457c8e6036,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|1,0|0,0|0,0|0,0|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
192994fa1379d8b24d8a31bd9117458396e70876,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0.5|1,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
8d7092c0cb5dc6ae4a1495e0009d7be397ae7753,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0.5|1,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
7007b4a8893ddf4d025bac57d239b26a48785f59,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0.5|1,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
3a5a90450e7f25b6aba314b4f79773c0232500ec,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0.5|1,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
8fea658fe9b5bdf51de7e321a1a549056ba4b150,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0.5|1,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
1a069ca71ed2d02504b89d088c6300f5144017c9,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0.5|1,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
a8de0070fd351b56895191653bf35888d0d3ab39,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0.5|1,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
e6a24b71abee5c4277541a086e2e40b7ae3f5458,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0.5|1,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
ef3e2239173cd8ab9714171f122aed24eb93b577,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0.5|1,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
c173563ad2d7a9483762c584899b9af09edb750d,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0.5|1,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
e50bc29bd9519c9f4c43e9f3cf34b5b8a9aa38da,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,1
cd51430ba7b3250fd4ccd4e79d400053e333b690,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,1
cc917b541f353c71353a826568d4becdf8d66293,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,1
0977b5496ad7f35f6575555714e2c352ce85285e,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,1
b79db82ae7b65b0847ea8fb286d203fae0a0ceb5,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,1
5557f34f5ef86cbf2d2de0ff39b591d4c836defb,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,1
07d3d8e0df15ab8a58e18905c65c31eb8e3590f4,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,1
f11c286bc6a987a3f1f838c061d65636b90e3aa8,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,1
75847f4e93c249eea75cd3f73de8148ce38e27b1,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,1
c4dcac5de77825e79763c9cd5f58aa8bde22f0b2,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,3
2c68c0662cbeb2fbea5a3bda481dcb6c85116d17,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,1
7360c4bf0c32002dc4d7c42d83e15889ddd83111,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,1
1594b1167de4f7d152aeb62b21c6bcc1855601b2,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,1
5645fe2d16aa49f611a146c009f562adba066be4,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,1
6d6d158f13a38419d3bdcd1fae269f72441a87a1,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0.5|0,1
bec794fbee14fb726cf1a4e572b261ed96f3bab7,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,3
2d02de4233a70fdad4cbf0862c83f03d9ba85d78,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,3
d4823541b7ec37916f2157c7cb38c15f8deb244c,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,3
6d98f8c8d8d3c6b56e3a600d46a56bfcc938bc68,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,3
ce71b171e2241104761183471acd0f203e4dad5e,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,3
79a51e0d18dea6e29f60146451368f4aa3ccda3c,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,3
e0e1f10bd3ee7396a12344040bfdbf0f12222c72,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,3
4bd8cda96604458da2eeedcbc0c9a979fefa46c9,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,3
326955a147388b486a2af015ab029546f9823258,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,3
4f3d87d03c695c649d5ec877958bcd12f2ae3b5e,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,3
249e9281761fc861bab93f76baf6cdcefb1774ee,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
aa6d3e1d36969aa0f955b11faf9142666145a72b,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
ef61a95b31b3e70238e344d9bb0fd0b20fb649c9,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
a581cbfc2dd0ba25f37b95e8b65d6d2270264c80,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
118929df93a19e47a17bffb48fe2443e303805c0,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
